algorithm_id,algorithm_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,average_policy_loss,regret_loss_player_0,regret_loss_player_1,baseline_loss_player_0,baseline_loss_player_1,checkpoint_kind,checkpoint_target_nodes,is_initial_policy_evaluation,is_final_policy_evaluation,result_source,calibration_loss,unbiased_estimator_sample_count,control_variate_beta_mean,control_variate_beta_min,control_variate_beta_max,predicted_residual_variance_mean,q_ensemble_disagreement_mean,q_residual_abs_mean,control_residual_abs_mean,importance_correction_abs_mean,policy_weighted_advantage_abs_mean,full_support_sampling_min_probability,calibration_target_version,q_ensemble_target_version_min,q_ensemble_target_version_max,prediction_gate_player_0,prediction_gate_player_1,prediction_gate_next_player_0,prediction_gate_next_player_1,predictor_relative_skill_player_0,predictor_relative_skill_player_1,predictor_holdout_mse_player_0,predictor_holdout_mse_player_1,predictor_zero_mse_player_0,predictor_zero_mse_player_1,q_fold_0_replay_size,q_fold_1_replay_size,q_fold_2_replay_size
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,0,0,0,0.0,0.746279530999999,2.373611111111111,-0.078125,0.007481424077999996,,,,,,initial_untrained_policy,,True,False,experiment_6_new_run,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,1,1,1532,10000.0,32.16524031499998,1.0070352306486212,0.006773903845688753,0.09238032792368875,3.082966770762141e-08,,,,,early_node_threshold,10000,False,False,experiment_6_new_run,,4624.0,1.0,1.0,1.0,1.0000100135803223,0.0,0.06983630556294954,0.06983630556294954,0.10475445834442328,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1550.0,1526.0,1548.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,2,1,20000,129605.0,439.972850213,3.9998844186791316,1.000007137070458,1.0856135611484579,1.9813386487044227e-08,0.007003729697316885,0.22124624252319336,8.560290728117556e-07,8.560290728117556e-07,outer_iteration,,False,False,experiment_6_new_run,-2.64475154876709,61189.0,1.0,1.0,1.0,1.0000100135803223,0.0,0.13272999043319658,0.13272999043319658,0.25201990805294044,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01391579769551754,0.32613009214401245,0.01391579769551754,0.32613009214401245,20348.0,20381.0,20460.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,3,2,40000,293559.0,889.310554778,6.255555470275516,1.568258279419163,1.653864703497163,0.1396484524011612,0.5866996645927429,2.5869553089141846,0.001185603051756819,0.001185603051756819,outer_iteration,,False,False,experiment_6_new_run,-1.3126498460769653,91183.0,0.8654618773489169,0.0,2.0,0.037320418752820404,0.0015364687498144755,0.5186730297966303,0.5309875437072411,0.9171308905807483,8.579640275871779e-18,0.08785572729109063,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-0.0021499096468049483,-0.019608988724577614,1.0356230735778809,3.4110679626464844,1.0331326723098755,3.289017915725708,50753.0,50784.0,50835.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,4,3,60000,476766.0,1365.744700803,3.66283844916976,0.7180083811361535,0.8036148052141535,0.09110083431005478,5.475736141204834,0.544413149356842,0.000523475716666629,0.000523475716666629,outer_iteration,,False,False,experiment_6_new_run,-0.922812819480896,105452.0,1.1228233092064384,0.0,2.0,2.927506859096627,0.0035812262645520117,0.37600906401999945,0.40512434486095217,0.7375921880652669,1.3224766245267837e-17,0.07763777708973843,3.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.053161981581365314,-0.02746834105020013,5.507630825042725,1.520545482635498,5.179116725921631,1.437045931816101,85948.0,85936.0,85940.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,5,4,80000,650484.0,1827.873066425,2.3712770719560874,0.04325793747852724,0.12886436155652725,0.06167125701904297,0.4775868356227875,0.10802028328180313,0.0020728932383159795,0.0020728932383159795,outer_iteration,,False,False,experiment_6_new_run,-1.05873703956604,97993.0,0.9696237078505349,0.0,2.0,1.1934038497980846,0.0017317045948380485,0.18655733056581347,0.19728292030945063,0.39485282387427467,1.1187303500895663e-17,0.07329822315900848,4.0,4.0,4.0,0.0,0.0,0.0,0.0,-0.06830571664845841,-0.03293223749859253,0.792610228061676,0.28781425952911377,0.6625566482543945,0.24512821435928345,118632.0,118638.0,118547.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,6,5,100000,818512.0,2279.748368688,1.270991201984699,0.045306421568854505,0.13091284564685451,0.05295078828930855,0.10711131244897842,0.07172229886054993,0.008885546742628017,0.008885546742628017,outer_iteration,,False,False,experiment_6_new_run,-1.1408209800720215,92817.0,0.993631029904433,0.0,2.0,0.07356949570990175,0.001498702451132559,0.14437647997926037,0.1586918234273159,0.3073110763500893,1.026003944780304e-17,0.07886629320077554,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-0.06392602277792969,-0.03152930861678738,0.16186808049678802,0.10514848679304123,0.17534239590168,0.10998883843421936,149686.0,149326.0,149622.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,7,6,120000,988616.0,2746.205592353,0.7693591567928303,-0.03950698804033345,0.046099436037666544,0.04204413667321205,0.06905029714107513,0.053111638873815536,0.012248765677213669,0.012248765677213669,outer_iteration,,False,False,experiment_6_new_run,-1.211709976196289,94445.0,1.0641219504140293,0.0,2.0,0.043765815221792494,0.0007430881381677287,0.12460008910589909,0.12846287801996997,0.25388290441452616,9.433011181447545e-18,0.07869482060534774,6.0,6.0,6.0,0.0,0.0,0.0,0.0,-0.06041608154574862,-0.029554686208941527,0.10252638906240463,0.0860154777765274,0.11399639397859573,0.09395847469568253,181143.0,180759.0,181177.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,8,7,140000,1159338.0,3203.241365916,0.6442166684204687,-0.10585971694867033,0.020253292870670334,0.032132163643836975,0.057745207101106644,0.05541132017970085,0.013109961524605751,0.013109961524605751,outer_iteration,,False,False,experiment_6_new_run,-1.3397340774536133,94939.0,1.0090271133167386,0.0,2.0,0.034209276140356064,0.0004434410510001262,0.11536061693937759,0.11936262161879468,0.2327635364964051,9.495989321419227e-18,0.08927164910585617,7.0,7.0,7.0,0.0,0.0,0.0,0.0,-0.05696680788524611,-0.027812205891064368,0.08303942531347275,0.0772082582116127,0.09425957500934601,0.08354569971561432,212676.0,212414.0,212928.0
unbiased_control_variate_escher,Unbiased Control-Variate ESCHER,0,9,8,160000,1331712.0,3664.056300229,0.5663124095190947,-0.11177414639621774,0.026167722318217748,0.02672889269888401,0.05600196123123169,0.05058976635336876,0.013035004337628683,0.013035004337628683,outer_iteration,,False,False,experiment_6_new_run,-1.4648844003677368,96497.0,1.0031780069518432,0.0,2.0,0.030817553379576486,0.0002916841632444894,0.11679608494686426,0.12015889778134908,0.2236782672532254,9.060290823719296e-18,0.09211749895434615,8.0,8.0,8.0,0.0,0.0,0.0,0.0,-0.053578734741346334,-0.025175687926696444,0.08315858244895935,0.07246655970811844,0.09312253445386887,0.08238507807254791,244749.0,244614.0,245152.0
